id,card_number,language,series_id,name,card_type,rarity,colors,cost,life,power,counter,attribute,traits,effect_text,trigger_text,source_info,block_icon
2317,OP02-005,en,72,Curly.Dadan,CHARACTER,UC,赤,2,,3000,1000,Slash,Mountain Bandits,"[On Play] Look at up to 5 cards from the top of your deck; reveal up to 1 red Character with a cost of 1 and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2318,OP02-068,en,72,Gum-Gum Rain,EVENT,R,青,,,,,,Impel Down/Straw Hat Crew,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,[Trigger] Return up to 1 Character with a cost of 2 or less to the owner's hand.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2319,OP03-008,en,71,Buggy,CHARACTER,UC,赤,1,,3000,,Slash,Buggy Pirates,"This Character cannot be K.O.'d in battle by <Slash> attribute cards.[On Play] Look at 5 cards from the top of your deck; reveal up to 1 red Event and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2320,OP03-044,en,71,Kaya,CHARACTER,R,青,1,,,2000,Wisdom,East Blue,[On Play] Draw 2 cards and trash 2 cards from your hand.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2321,OP03-048,en,71,Nojiko,CHARACTER,UC,青,2,,,1000,Wisdom,East Blue,"[On Play] If your Leader is [Nami], return up to 1 of your opponent's Characters with a cost of 5 or less to the owner's hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2322,OP03-072,en,71,Gum-Gum Jet Gatling,EVENT,R,紫,,,,,,Water Seven/Straw Hat Crew,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2323,OP03-097,en,71,Six King Pistol,EVENT,R,黒,,,,,,CP9,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,"[Trigger] Draw 1 card. Then, K.O. up to 1 of your opponent's Characters with a cost of 1 or less.",-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2324,OP04-016,en,70,Bad Manners Kick Course,EVENT,R,赤,,,,,,Alabasta/Straw Hat Crew,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,[Trigger] Give up to 1 of your opponent's Leader or Character cards −3000 power during this turn.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2325,OP04-077,en,70,Ideo,CHARACTER,C,黒,2,,2000,1000,Strike,Dressrosa,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2326,OP04-083,en,70,Sabo,CHARACTER,SR,黒,5,,6000,1000,Special,Dressrosa/Revolutionary Army,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] None of your Characters can be K.O.'d by effects until the start of your next turn. Then, draw 2 cards and trash 2 cards from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2327,OP04-096,en,70,Corrida Coliseum,STAGE,C,黒,1,,,,,Dressrosa,"If your Leader has the {Dressrosa} type, your {Dressrosa} type Characters can attack Characters on the turn in which they are played.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1
2328,OP05-004,en,69,Emporio.Ivankov,CHARACTER,UC,赤,4,,5000,1000,Special,Revolutionary Army,"[Activate: Main] [Once Per Turn] If this Character has 7000 power or more, play up to 1 {Revolutionary Army} type Character card with 5000 power or less other than [Emporio.Ivankov] from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2329,OP05-021,en,69,Revolutionary Army HQ,STAGE,UC,赤,1,,,,,Revolutionary Army,"[Activate: Main] You may trash 1 card from your hand and rest this Stage: Look at 3 cards from the top of your deck; reveal up to 1 {Revolutionary Army} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2330,OP05-030,en,69,Donquixote Rosinante,CHARACTER,R,緑,2,,1000,1000,Special,Navy/Donquixote Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Opponent's Turn] If your rested Character would be K.O.'d, you may trash this Character instead.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2331,OP05-036,en,69,Monet,CHARACTER,UC,緑,3,,1000,1000,Special,Donquixote Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Block] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2332,OP05-037,en,69,Because the Side of Justice Will Be Whichever Side Wins!!,EVENT,R,緑,,,,,,Donquixote Pirates,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2333,OP05-052,en,69,Maynard,CHARACTER,C,青,2,,2000,1000,Wisdom,Navy,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2334,OP05-077,en,69,Gamma Knife,EVENT,C,紫,2,,,,,Heart Pirates,[Main] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Give up to 1 of your opponent's Characters −5000 power during this turn.,[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2335,OP05-091,en,69,Rebecca,CHARACTER,SR,黒,4,,,1000,Wisdom,Dressrosa,"[Blocker][On Play] Add up to 1 black Character card with a cost of 3 to 7 other than [Rebecca] from your trash to your hand. Then, play up to 1 black Character card with a cost of 3 or less from your hand rested.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2336,OP05-097,en,69,Mary Geoise,STAGE,C,黒,1,,,,,Mary Geoise,[Your Turn] The cost of playing {Celestial Dragons} type Character cards with a cost of 2 or more from your hand will be reduced by 1.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2337,OP05-102,en,69,Gedatsu,CHARACTER,R,黄,5,,6000,1000,Strike,Sky Island/Vassals,[On Play] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2338,OP06-007,en,68,Shanks,CHARACTER,SR,赤,10,,12000,,Slash,FILM/The Four Emperors/Red-Haired Pirates,[On Play] K.O. up to 1 of your opponent's Characters with 10000 power or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2339,OP06-044,en,68,Gion,CHARACTER,UC,青,4,,5000,2000,Slash,Navy,"[Your Turn] [Once Per Turn] When your opponent activates an Event, your opponent must place 1 card from their hand at the bottom of their deck.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2340,OP06-047,en,68,Charlotte Pudding,CHARACTER,R,青,4,,4000,1000,Wisdom,Big Mom Pirates,"[On Play] Your opponent returns all cards in their hand to their deck and shuffles their deck. Then, your opponent draws 5 cards.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2341,OP06-049,en,68,Sengoku,CHARACTER,C,青,5,,7000,1000,Strike,Navy,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2342,OP06-056,en,68,Ama no Murakumo Sword,EVENT,UC,青,2,,,,,Navy,[Main] Place up to 1 of your opponent's Characters with a cost of 2 or less and up to 1 of your opponent's Characters with a cost of 1 or less at the bottom of the owner's deck in any order.,[Trigger] Activate this card's [Main] effect.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2343,OP06-058,en,68,Gravity Blade Raging Tiger,EVENT,R,青,7,,,,,Navy,[Main] Place up to 2 Characters with a cost of 6 or less at the bottom of the owner's deck in any order.,[Trigger] Place up to 1 Character with a cost of 5 or less at the bottom of the owner's deck.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2344,OP06-059,en,68,White Snake,EVENT,UC,青,2,,,,,Navy,"[Counter] Up to 1 of your Leader or Character cards gains +1000 power during this turn, and draw 1 card.",[Trigger] Look at 5 cards from the top of your deck and place them at the top or bottom of your deck in any order.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2345,OP06-063,en,68,Vinsmoke Sora,CHARACTER,UC,紫,1,,,2000,Wisdom,The Vinsmoke Family/Kingdom of GERMA,"[On Play] You may trash 1 card from your hand: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, add up to 1 {The Vinsmoke Family} type Character card with 4000 power or less from your trash to your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2346,OP06-073,en,68,Shiki,CHARACTER,UC,紫,2,,1000,1000,Special,FILM/Golden Lion Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you have 8 or more DON!! cards on your field, draw 1 card and trash 1 card from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2347,OP06-076,en,68,Hitokiri Kamazo,CHARACTER,UC,紫,4,,5000,2000,Slash,Supernovas/Kid Pirates/SMILE,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, K.O. up to 1 of your opponent's Characters with a cost of 2 or less.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2348,OP06-078,en,68,GERMA 66,EVENT,UC,紫,1,,,,,The Vinsmoke Family/GERMA 66,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""GERMA"" other than [GERMA 66] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Draw 1 card.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2349,OP06-107,en,68,Kouzuki Momonosuke,CHARACTER,SR,黄,5,,6000,,Wisdom,Land of Wano/Kouzuki Clan,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Add up to 1 of your {Land of Wano} type Characters other than [Kouzuki Momonosuke] to the top or bottom of the owner's Life cards face-up.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2350,OP06-115,en,68,You're the One Who Should Disappear.,EVENT,R,黄,,,,,,Sky Island,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,"[Trigger] If you have 0 Life cards, you may add up to 1 card from the top of your deck to the top of your Life cards. Then, trash 1 card from your hand.",-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2351,OP06-118,en,68,Roronoa Zoro,CHARACTER,SEC,緑,9,,9000,,Slash,Straw Hat Crew,[When Attacking] [Once Per Turn] ➀ (You may rest the specified number of DON!! cards in your cost area.): Set this Character as active.[Activate: Main] [Once Per Turn] ➁ (You may rest the specified number of DON!! cards in your cost area.): Set this Character as active.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2352,OP06-119,en,68,Sanji,CHARACTER,SEC,青,9,,9000,,Strike,Straw Hat Crew,"[On Play] Reveal 1 card from the top of your deck and play up to 1 Character with a cost of 9 or less other than [Sanji]. Then, place the rest at the bottom of your deck.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2353,OP07-014,en,67,Moda,CHARACTER,UC,赤,1,,,2000,Wisdom,Lulucia Kingdom,[Your Turn] [On Play] Up to 1 of your [Portgas.D.Ace] cards gains +2000 power during this turn.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2354,OP07-015,en,67,Monkey.D.Dragon,CHARACTER,SR,赤,8,,9000,,Special,Revolutionary Army,[Rush] (This card can attack on the turn in which it is played.)[On Play] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2355,OP07-017,en,67,Dragon Breath,EVENT,UC,赤,2,,,,,Revolutionary Army,[Main] K.O. up to 1 of your opponent's Characters with 3000 power or less and up to 1 of your opponent's Stages with a cost of 1 or less.,[Trigger] Activate this card's [Main] effect.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2356,OP07-021,en,67,Urouge,CHARACTER,R,緑,4,,5000,1000,Strike,Supernovas/Fallen Monk Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[End of Your Turn] Set up to 1 of your DON!! cards as active.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2357,OP07-026,en,67,Jewelry Bonney,CHARACTER,SR,緑,5,,6000,1000,Special,Supernovas/Bonney Pirates,[On Play] Up to 1 of your opponent's rested Character or DON!! cards will not become active in your opponent's next Refresh Phase.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2358,OP07-029,en,67,Basil Hawkins,CHARACTER,SR,緑,6,,7000,,Slash,Supernovas/Hawkins Pirates,"If your Leader has the {Supernovas} type, this Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Once Per Turn] If this Character would be removed from the field by your opponent's effect, you may rest 1 of your opponent's Characters instead.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2359,OP07-031,en,67,Bartolomeo,CHARACTER,UC,緑,3,,4000,1000,Special,Supernovas/Barto Club,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Your Turn] [Once Per Turn] If a Character is rested by your effect, draw 1 card and trash 1 card from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2360,OP07-040,en,67,Crocodile,CHARACTER,UC,青,4,,5000,2000,Special,The Seven Warlords of the Sea/Baroque Works,[On Play] You may rest 1 of your DON!! cards: Return up to 1 Character with a cost of 2 or less to the owner's hand.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2361,OP07-056,en,67,Slave Arrow,EVENT,UC,青,1,,,,,The Seven Warlords of the Sea/Kuja Pirates,[Counter] You may return 1 of your Characters with a cost of 2 or more to the owner's hand: Up to 1 of your Leader or Character cards gains +4000 power during this battle.,[Trigger] Draw 2 cards and place 2 cards from your hand at the bottom of your deck in any order.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2362,OP07-064,en,67,Sanji,CHARACTER,SR,紫,6,,6000,2000,Strike,Straw Hat Crew,"If the number of DON!! cards on your field is at least 2 less than the number on your opponent's field, give this card in your hand −3 cost.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2363,OP07-076,en,67,Slow-Slow Beam Sword,EVENT,C,紫,2,,,,,Foxy Pirates,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, rest up to 1 of your opponent's Characters.",[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2364,OP07-107,en,67,Franky,CHARACTER,R,黄,4,,5000,2000,Strike,Egghead/Straw Hat Crew,,"[Trigger] Draw 1 card. Then, if you have 1 or less Life cards, play this card.",-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2365,OP07-109,en,67,Monkey.D.Luffy,CHARACTER,SR,黄,5,,6000,1000,Strike,The Four Emperors/Egghead/Straw Hat Crew,"[Activate: Main] You may trash this Character: If you have 2 or less Life cards, K.O. up to 1 of your opponent's Characters with a cost of 4 or less. Then, draw 1 card.",[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 4 or less.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2366,OP07-114,en,67,He Possesses the World's Most Brilliant Mind,EVENT,UC,黄,1,,,,,Scientist/Egghead,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 {Egghead} type card other than [He Possesses the World's Most Brilliant Mind] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Draw 1 card.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2367,OP07-118,en,67,Sabo,CHARACTER,SEC,黒,8,,9000,,Special,Revolutionary Army,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less and up to 1 of your opponent's Characters with a cost of 3 or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2368,OP07-119,en,67,Portgas.D.Ace,CHARACTER,SEC,黄,10,,10000,,Special,Whitebeard Pirates,"[On Play] Add up to 1 card from the top of your deck to the top of your Life cards. Then, if you have 2 or less Life cards, this Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2369,OP08-023,en,62,Carrot,CHARACTER,SR,緑,5,,6000,1000,Special,Minks,[On Play]/[When Attacking] Up to 1 of your opponent's rested Characters with a cost of 7 or less will not become active in your opponent's next Refresh Phase.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2370,OP08-067,en,62,Charlotte Pudding,CHARACTER,R,紫,3,,4000,1000,Wisdom,Big Mom Pirates,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and rest it.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2371,OP08-074,en,62,Black Maria,CHARACTER,SR,紫,3,,2000,2000,Special,Animal Kingdom Pirates,"[Activate: Main] [Once Per Turn] If you have no other [Black Maria] Characters, add up to 5 DON!! cards from your DON!! deck and rest them. Then, at the end of this turn, return DON!! cards from your field to your DON!! deck until you have the same number of DON!! cards on your field as your opponent.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2372,OP08-076,en,62,It's to Die For...,EVENT,UC,紫,3,,,,,The Four Emperors/Big Mom Pirates,"[Main] Add up to 1 DON!! card from your DON!! deck and set it as active. Then, if your opponent has a Character with 6000 power or more, add up to 1 DON!! card from your DON!! deck and set it as active.",[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2373,OP08-087,en,62,Scratchmen Apoo,CHARACTER,UC,黒,4,,5000,1000,Ranged,Animal Kingdom Pirates/On-Air Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1 cost during this turn.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2374,OP08-099,en,62,Kalgara,CHARACTER,C,黄,6,,8000,1000,Slash,Jaya/Sky Island/Shandian Warrior,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2375,OP08-118,en,62,Silvers Rayleigh,CHARACTER,SEC,赤,8,,8000,,Slash,Former Roger Pirates,"[On Play] Select up to 2 of your opponent's Characters, and give 1 Character −3000 power and the other −2000 power until the end of your opponent's next turn. Then, K.O. up to 1 of your opponent's Characters with 3000 power or less.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2
2376,OP09-002,en,61,Uta,CHARACTER,R,赤,1,,2000,1000,Special,FILM,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Red-Haired Pirates} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2377,OP09-004,en,61,Shanks,CHARACTER,SR,赤,10,,12000,,Slash,The Four Emperors/Red-Haired Pirates,Give all of your opponent's Characters −1000 power.[Rush] (This card can attack on the turn in which it is played.),,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2378,OP09-005,en,61,Silvers Rayleigh,CHARACTER,R,赤,5,,6000,1000,Slash,Roger Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If your opponent has 2 or more Characters with a base power of 5000 or more, draw 2 cards and trash 1 card from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2379,OP09-009,en,61,Benn.Beckman,CHARACTER,SR,赤,7,,7000,1000,Ranged,Red-Haired Pirates,[On Play] Trash up to 1 of your opponent's Characters with 6000 power or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2380,OP09-014,en,61,Limejuice,CHARACTER,UC,赤,3,,3000,2000,Special,Red-Haired Pirates,[On Play] Your opponent cannot activate up to 1 [Blocker] Character that has 4000 power or less during this turn.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2381,OP09-020,en,61,Come On!! We'll Fight You!!,EVENT,R,赤,1,,,,,The Four Emperors/Red-Haired Pirates,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 {Red-Haired Pirates} type card other than [Come On!! We'll Fight You!!] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Draw 1 card.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2382,OP09-027,en,61,Sabo,CHARACTER,UC,緑,5,,6000,1000,Special,ODYSSEY/Revolutionary Army,"[When Attacking] [Once Per Turn] If you have 3 or more rested Characters, draw 1 card.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2383,OP09-033,en,61,Nico Robin,CHARACTER,C,緑,4,,5000,1000,Strike,ODYSSEY/Straw Hat Crew,"[On Play] If you have 2 or more rested Characters, none of your {ODYSSEY} or {Straw Hat Crew} type Characters can be K.O.'d by effects until the end of your opponent's next turn.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2384,OP09-046,en,61,Crocodile,CHARACTER,SR,青,7,,7000,1000,Special,Cross Guild/Former Baroque Works,"[On Play] Play up to 1 {Cross Guild} type Character card or Character card with a type including ""Baroque Works"" with a cost of 5 or less from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2385,OP09-048,en,61,Dracule Mihawk,CHARACTER,SR,青,6,,7000,,Slash,Cross Guild,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Draw 2 cards and trash 1 card from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2386,OP09-056,en,61,Mr.3(Galdino),CHARACTER,R,青,1,,2000,1000,Special,Cross Guild/Former Baroque Works,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Cross Guild} type card or card with a type including ""Baroque Works"" other than [Mr.3(Galdino)] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2387,OP09-057,en,61,Cross Guild,EVENT,R,青,1,,,,,Cross Guild,"[Main] Look at 4 cards from the top of your deck; reveal up to 1 {Cross Guild} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Activate this card's [Main] effect.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2388,OP09-065,en,61,Sanji,CHARACTER,SR,紫,7,,7000,1000,Strike,Straw Hat Crew,"[On Play] You may return 1 or more DON!! cards from your field to your DON!! deck: This Character gains [Rush] during this turn. Then, rest up to 1 of your opponent's Characters with a cost of 6 or less.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
2389,OP09-069,en,61,Trafalgar Law,CHARACTER,R,紫,1,,2000,1000,Slash,Heart Pirates,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} or {Heart Pirates} type card with a cost of 2 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],3
