id,card_number,language,series_id,name,card_type,rarity,colors,cost,life,power,counter,attribute,traits,effect_text,trigger_text,source_info,block_icon,created_at,updated_at
2323,OP03-097,en,51,Six King Pistol,EVENT,R,黒,,,,,,CP9,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,"[Trigger] Draw 1 card. Then, K.O. up to 1 of your opponent's Characters with a cost of 1 or less.",-ONE PIECE CARD THE BEST vol.2- [PRB-02],1,2026-02-15 14:47:47.542443,2026-02-16 04:38:54.745086
2324,OP04-016,en,51,Bad Manners Kick Course,EVENT,R,赤,,,,,,Alabasta/Straw Hat Crew,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,[Trigger] Give up to 1 of your opponent's Leader or Character cards −3000 power during this turn.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1,2026-02-15 14:47:47.544015,2026-02-16 04:38:54.745087
2325,OP04-077,en,51,Ideo,CHARACTER,C,黒,2.0,,2000.0,1000.0,Strike,Dressrosa,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1,2026-02-15 14:47:47.546303,2026-02-16 04:38:54.745087
2326,OP04-083,en,51,Sabo,CHARACTER,SR,黒,5.0,,6000.0,1000.0,Special,Dressrosa/Revolutionary Army,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] None of your Characters can be K.O.'d by effects until the start of your next turn. Then, draw 2 cards and trash 2 cards from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1,2026-02-15 14:47:47.548616,2026-02-16 04:38:54.745088
2327,OP04-096,en,51,Corrida Coliseum,STAGE,C,黒,1.0,,,,,Dressrosa,"If your Leader has the {Dressrosa} type, your {Dressrosa} type Characters can attack Characters on the turn in which they are played.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],1,2026-02-15 14:47:47.550119,2026-02-16 04:38:54.745089
2328,OP05-004,en,51,Emporio.Ivankov,CHARACTER,UC,赤,4.0,,5000.0,1000.0,Special,Revolutionary Army,"[Activate: Main] [Once Per Turn] If this Character has 7000 power or more, play up to 1 {Revolutionary Army} type Character card with 5000 power or less other than [Emporio.Ivankov] from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.552496,2026-02-16 04:38:54.745090
2329,OP05-021,en,51,Revolutionary Army HQ,STAGE,UC,赤,1.0,,,,,Revolutionary Army,"[Activate: Main] You may trash 1 card from your hand and rest this Stage: Look at 3 cards from the top of your deck; reveal up to 1 {Revolutionary Army} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.554797,2026-02-16 04:38:54.745091
2330,OP05-030,en,51,Donquixote Rosinante,CHARACTER,R,緑,2.0,,1000.0,1000.0,Special,Navy/Donquixote Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Opponent's Turn] If your rested Character would be K.O.'d, you may trash this Character instead.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.557132,2026-02-16 04:38:54.745092
2331,OP05-036,en,51,Monet,CHARACTER,UC,緑,3.0,,1000.0,1000.0,Special,Donquixote Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Block] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.559514,2026-02-16 04:38:54.745093
2332,OP05-037,en,51,Because the Side of Justice Will Be Whichever Side Wins!!,EVENT,R,緑,,,,,,Donquixote Pirates,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.561801,2026-02-16 04:38:54.745095
2333,OP05-052,en,51,Maynard,CHARACTER,C,青,2.0,,2000.0,1000.0,Wisdom,Navy,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.563324,2026-02-16 04:38:54.745098
2334,OP05-077,en,51,Gamma Knife,EVENT,C,紫,2.0,,,,,Heart Pirates,[Main] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Give up to 1 of your opponent's Characters −5000 power during this turn.,[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.565605,2026-02-16 04:38:54.745099
2335,OP05-091,en,51,Rebecca,CHARACTER,SR,黒,4.0,,,1000.0,Wisdom,Dressrosa,"[Blocker][On Play] Add up to 1 black Character card with a cost of 3 to 7 other than [Rebecca] from your trash to your hand. Then, play up to 1 black Character card with a cost of 3 or less from your hand rested.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.567849,2026-02-16 04:38:54.745100
2336,OP05-097,en,51,Mary Geoise,STAGE,C,黒,1.0,,,,,Mary Geoise,[Your Turn] The cost of playing {Celestial Dragons} type Character cards with a cost of 2 or more from your hand will be reduced by 1.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.569424,2026-02-16 04:38:54.745101
2337,OP05-102,en,51,Gedatsu,CHARACTER,R,黄,5.0,,6000.0,1000.0,Strike,Sky Island/Vassals,[On Play] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.572485,2026-02-16 04:38:54.745102
2338,OP06-007,en,51,Shanks,CHARACTER,SR,赤,10.0,,12000.0,,Slash,FILM/The Four Emperors/Red-Haired Pirates,[On Play] K.O. up to 1 of your opponent's Characters with 10000 power or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.573975,2026-02-16 04:38:54.745102
2339,OP06-044,en,51,Gion,CHARACTER,UC,青,4.0,,5000.0,2000.0,Slash,Navy,"[Your Turn] [Once Per Turn] When your opponent activates an Event, your opponent must place 1 card from their hand at the bottom of their deck.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.575561,2026-02-16 04:38:54.745103
2340,OP06-047,en,51,Charlotte Pudding,CHARACTER,R,青,4.0,,4000.0,1000.0,Wisdom,Big Mom Pirates,"[On Play] Your opponent returns all cards in their hand to their deck and shuffles their deck. Then, your opponent draws 5 cards.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.577887,2026-02-16 04:38:54.745104
2341,OP06-049,en,51,Sengoku,CHARACTER,C,青,5.0,,7000.0,1000.0,Strike,Navy,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.579471,2026-02-16 04:38:54.745105
2342,OP06-056,en,51,Ama no Murakumo Sword,EVENT,UC,青,2.0,,,,,Navy,[Main] Place up to 1 of your opponent's Characters with a cost of 2 or less and up to 1 of your opponent's Characters with a cost of 1 or less at the bottom of the owner's deck in any order.,[Trigger] Activate this card's [Main] effect.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.581733,2026-02-16 04:38:54.745106
2343,OP06-058,en,51,Gravity Blade Raging Tiger,EVENT,R,青,7.0,,,,,Navy,[Main] Place up to 2 Characters with a cost of 6 or less at the bottom of the owner's deck in any order.,[Trigger] Place up to 1 Character with a cost of 5 or less at the bottom of the owner's deck.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.584009,2026-02-16 04:38:54.745107
2344,OP06-059,en,51,White Snake,EVENT,UC,青,2.0,,,,,Navy,"[Counter] Up to 1 of your Leader or Character cards gains +1000 power during this turn, and draw 1 card.",[Trigger] Look at 5 cards from the top of your deck and place them at the top or bottom of your deck in any order.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.586404,2026-02-16 04:38:54.745108
2345,OP06-063,en,51,Vinsmoke Sora,CHARACTER,UC,紫,1.0,,,2000.0,Wisdom,The Vinsmoke Family/Kingdom of GERMA,"[On Play] You may trash 1 card from your hand: If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, add up to 1 {The Vinsmoke Family} type Character card with 4000 power or less from your trash to your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.588699,2026-02-16 04:38:54.745108
2346,OP06-073,en,51,Shiki,CHARACTER,UC,紫,2.0,,1000.0,1000.0,Special,FILM/Golden Lion Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] If you have 8 or more DON!! cards on your field, draw 1 card and trash 1 card from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.590958,2026-02-16 04:38:54.745109
2347,OP06-076,en,51,Hitokiri Kamazo,CHARACTER,UC,紫,4.0,,5000.0,2000.0,Slash,Supernovas/Kid Pirates/SMILE,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, K.O. up to 1 of your opponent's Characters with a cost of 2 or less.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.593234,2026-02-16 04:38:54.745110
2348,OP06-078,en,51,GERMA 66,EVENT,UC,紫,1.0,,,,,The Vinsmoke Family/GERMA 66,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 card with a type including ""GERMA"" other than [GERMA 66] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Draw 1 card.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.595510,2026-02-16 04:38:54.745111
2349,OP06-107,en,51,Kouzuki Momonosuke,CHARACTER,SR,黄,5.0,,6000.0,,Wisdom,Land of Wano/Kouzuki Clan,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Add up to 1 of your {Land of Wano} type Characters other than [Kouzuki Momonosuke] to the top or bottom of the owner's Life cards face-up.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.597799,2026-02-16 04:38:54.745112
2350,OP06-115,en,51,You're the One Who Should Disappear.,EVENT,R,黄,,,,,,Sky Island,[Counter] You may trash 1 card from your hand: Up to 1 of your Leader or Character cards gains +3000 power during this battle.,"[Trigger] If you have 0 Life cards, you may add up to 1 card from the top of your deck to the top of your Life cards. Then, trash 1 card from your hand.",-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.599333,2026-02-16 04:38:54.745113
2351,OP06-118,en,51,Roronoa Zoro,CHARACTER,SEC,緑,9.0,,9000.0,,Slash,Straw Hat Crew,[When Attacking] [Once Per Turn] ➀ (You may rest the specified number of DON!! cards in your cost area.): Set this Character as active.[Activate: Main] [Once Per Turn] ➁ (You may rest the specified number of DON!! cards in your cost area.): Set this Character as active.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.601618,2026-02-16 04:38:54.745113
2352,OP06-119,en,51,Sanji,CHARACTER,SEC,青,9.0,,9000.0,,Strike,Straw Hat Crew,"[On Play] Reveal 1 card from the top of your deck and play up to 1 Character with a cost of 9 or less other than [Sanji]. Then, place the rest at the bottom of your deck.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.603149,2026-02-16 04:38:54.745114
2353,OP07-014,en,51,Moda,CHARACTER,UC,赤,1.0,,,2000.0,Wisdom,Lulucia Kingdom,[Your Turn] [On Play] Up to 1 of your [Portgas.D.Ace] cards gains +2000 power during this turn.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.605455,2026-02-16 04:38:54.745115
2354,OP07-015,en,51,Monkey.D.Dragon,CHARACTER,SR,赤,8.0,,9000.0,,Special,Revolutionary Army,[Rush] (This card can attack on the turn in which it is played.)[On Play] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.607766,2026-02-16 04:38:54.745116
2355,OP07-017,en,51,Dragon Breath,EVENT,UC,赤,2.0,,,,,Revolutionary Army,[Main] K.O. up to 1 of your opponent's Characters with 3000 power or less and up to 1 of your opponent's Stages with a cost of 1 or less.,[Trigger] Activate this card's [Main] effect.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.609371,2026-02-16 04:38:54.745117
2356,OP07-021,en,51,Urouge,CHARACTER,R,緑,4.0,,5000.0,1000.0,Strike,Supernovas/Fallen Monk Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[End of Your Turn] Set up to 1 of your DON!! cards as active.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.611639,2026-02-16 04:38:54.745118
2357,OP07-026,en,51,Jewelry Bonney,CHARACTER,SR,緑,5.0,,6000.0,1000.0,Special,Supernovas/Bonney Pirates,[On Play] Up to 1 of your opponent's rested Character or DON!! cards will not become active in your opponent's next Refresh Phase.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.614013,2026-02-16 04:38:54.745119
2358,OP07-029,en,51,Basil Hawkins,CHARACTER,SR,緑,6.0,,7000.0,,Slash,Supernovas/Hawkins Pirates,"If your Leader has the {Supernovas} type, this Character gains [Blocker].(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Once Per Turn] If this Character would be removed from the field by your opponent's effect, you may rest 1 of your opponent's Characters instead.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.615555,2026-02-16 04:38:54.745119
2359,OP07-031,en,51,Bartolomeo,CHARACTER,UC,緑,3.0,,4000.0,1000.0,Special,Supernovas/Barto Club,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Your Turn] [Once Per Turn] If a Character is rested by your effect, draw 1 card and trash 1 card from your hand.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.617044,2026-02-16 04:38:54.745120
2360,OP07-040,en,51,Crocodile,CHARACTER,UC,青,4.0,,5000.0,2000.0,Special,The Seven Warlords of the Sea/Baroque Works,[On Play] You may rest 1 of your DON!! cards: Return up to 1 Character with a cost of 2 or less to the owner's hand.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.619499,2026-02-16 04:38:54.745121
2361,OP07-056,en,51,Slave Arrow,EVENT,UC,青,1.0,,,,,The Seven Warlords of the Sea/Kuja Pirates,[Counter] You may return 1 of your Characters with a cost of 2 or more to the owner's hand: Up to 1 of your Leader or Character cards gains +4000 power during this battle.,[Trigger] Draw 2 cards and place 2 cards from your hand at the bottom of your deck in any order.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.622567,2026-02-16 04:38:54.745122
2362,OP07-064,en,51,Sanji,CHARACTER,SR,紫,6.0,,6000.0,2000.0,Strike,Straw Hat Crew,"If the number of DON!! cards on your field is at least 2 less than the number on your opponent's field, give this card in your hand −3 cost.[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.624858,2026-02-16 04:38:54.745123
2363,OP07-076,en,51,Slow-Slow Beam Sword,EVENT,C,紫,2.0,,,,,Foxy Pirates,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, rest up to 1 of your opponent's Characters.",[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.626451,2026-02-16 04:38:54.745124
2364,OP07-107,en,51,Franky,CHARACTER,R,黄,4.0,,5000.0,2000.0,Strike,Egghead/Straw Hat Crew,,"[Trigger] Draw 1 card. Then, if you have 1 or less Life cards, play this card.",-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.628729,2026-02-16 04:38:54.745124
2365,OP07-109,en,51,Monkey.D.Luffy,CHARACTER,SR,黄,5.0,,6000.0,1000.0,Strike,The Four Emperors/Egghead/Straw Hat Crew,"[Activate: Main] You may trash this Character: If you have 2 or less Life cards, K.O. up to 1 of your opponent's Characters with a cost of 4 or less. Then, draw 1 card.",[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 4 or less.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.630274,2026-02-16 04:38:54.745125
2366,OP07-114,en,51,He Possesses the World's Most Brilliant Mind,EVENT,UC,黄,1.0,,,,,Scientist/Egghead,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 {Egghead} type card other than [He Possesses the World's Most Brilliant Mind] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",[Trigger] Draw 1 card.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.631777,2026-02-16 04:38:54.745126
2367,OP07-118,en,51,Sabo,CHARACTER,SEC,黒,8.0,,9000.0,,Special,Revolutionary Army,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less and up to 1 of your opponent's Characters with a cost of 3 or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.634088,2026-02-16 04:38:54.745127
2368,OP07-119,en,51,Portgas.D.Ace,CHARACTER,SEC,黄,10.0,,10000.0,,Special,Whitebeard Pirates,"[On Play] Add up to 1 card from the top of your deck to the top of your Life cards. Then, if you have 2 or less Life cards, this Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.)",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.635797,2026-02-16 04:38:54.745128
2369,OP08-023,en,51,Carrot,CHARACTER,SR,緑,5.0,,6000.0,1000.0,Special,Minks,[On Play]/[When Attacking] Up to 1 of your opponent's rested Characters with a cost of 7 or less will not become active in your opponent's next Refresh Phase.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.637325,2026-02-16 04:38:54.745129
2370,OP08-067,en,51,Charlotte Pudding,CHARACTER,R,紫,3.0,,4000.0,1000.0,Wisdom,Big Mom Pirates,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, add up to 1 DON!! card from your DON!! deck and rest it.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.638847,2026-02-16 04:38:54.745129
2371,OP08-074,en,51,Black Maria,CHARACTER,SR,紫,3.0,,2000.0,2000.0,Special,Animal Kingdom Pirates,"[Activate: Main] [Once Per Turn] If you have no other [Black Maria] Characters, add up to 5 DON!! cards from your DON!! deck and rest them. Then, at the end of this turn, return DON!! cards from your field to your DON!! deck until you have the same number of DON!! cards on your field as your opponent.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.640426,2026-02-16 04:38:54.745130
2372,OP08-076,en,51,It's to Die For...,EVENT,UC,紫,3.0,,,,,The Four Emperors/Big Mom Pirates,"[Main] Add up to 1 DON!! card from your DON!! deck and set it as active. Then, if your opponent has a Character with 6000 power or more, add up to 1 DON!! card from your DON!! deck and set it as active.",[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.641983,2026-02-16 04:38:54.745131
2373,OP08-087,en,51,Scratchmen Apoo,CHARACTER,UC,黒,4.0,,5000.0,1000.0,Ranged,Animal Kingdom Pirates/On-Air Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[Activate: Main] [Once Per Turn] Give up to 1 of your opponent's Characters −1 cost during this turn.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],2,2026-02-15 14:47:47.644256,2026-02-16 04:38:54.745132
